Location,Population_M,GDP_Billions_USD,GERD_Pct_GDP
United States,335.0,27360.0,3.40
United Kingdom,68.0,3330.0,2.90
China (Mainland),1410.0,17790.0,2.40
Japan,124.0,4210.0,3.30
Germany,84.0,4460.0,3.10
Russia,144.0,2000.0,1.00
India,1430.0,3730.0,0.70
South Korea,52.0,1710.0,4.90
Italy,59.0,2190.0,1.50
Australia,26.0,1690.0,1.80
Brazil,216.0,2170.0,1.20
France,68.0,3030.0,2.20
Spain,48.0,1580.0,1.40
Mexico,128.0,1790.0,0.30
Canada,39.0,2140.0,1.60
Malaysia,34.0,430.0,1.00
Taiwan,24.0,760.0,3.80
Indonesia,277.0,1370.0,0.30
Argentina,46.0,640.0,0.50
Chile,20.0,330.0,0.40
Switzerland,9.0,890.0,3.40
Singapore,6.0,500.0,2.20
Hong Kong SAR,7.5,380.0,1.00
Netherlands,18.0,1120.0,2.30
Sweden,10.5,590.0,3.40
Ireland,5.2,550.0,1.10
Denmark,5.9,400.0,3.00
Saudi Arabia,36.0,1110.0,0.60
Finland,5.6,300.0,2.90
Norway,5.5,540.0,1.90
Austria,9.1,520.0,3.20
New Zealand,5.2,250.0,1.40
South Africa,60.0,380.0,0.60
Colombia,52.0,360.0,0.30
Belgium,11.7,630.0,3.50
Turkey,85.0,1150.0,1.40
Poland,38.0,810.0,1.40
Pakistan,240.0,340.0,0.30
Thailand,72.0,510.0,1.20
Portugal,10.4,290.0,1.70
Greece,10.4,240.0,1.50
Vietnam,98.0,430.0,0.40
